entity,code,year,unsafe_water_source,unsafe_sanitation,no_access_handwashing,sum,unsafe_water_perct,unsafe_sanitation_perct,no_handwashing_perct,country_name,safe_water_2017
Mongolia,MNG,2017,20.62649376704961,18.009379884753233,41.22880398495242,32249.09929017053,0.06395990654330161,0.05584459808538734,0.12784482324292043,Mongolia,23.7220805652873
Montenegro,MNE,2017,0.3503405409188725,0.04850909845234792,0.5075568164993743,12813.33468990099,0.002734187074618431,0.0003785829343128065,0.0039611609997154944,Montenegro,93.5969206868004
Morocco,MAR,2017,694.3798279617997,224.73151961478334,462.46750364700966,344150.3708799774,0.20176640408269816,0.06530038571225558,0.13437948721789855,Morocco,70.26643982954761
Nepal,NPL,2017,8932.552896318217,5369.3594350883,3552.7493812104976,216672.09460034812,4.122613441659075,2.4781038116570056,1.6396894061339773,Nepal,27.243352886872202
Netherlands,NLD,2017,8.141680715873473,5.3818819053833185,44.18826494041018,142125.2048431382,0.005728526987777674,0.0037867188380296328,0.031091082675434107,Netherlands,99.9510127973186
New Zealand,NZL,2017,11.358034365772426,2.5380701015943243,11.549199242474073,31728.24166506397,0.03579786893226667,0.007999403586203133,0.0364003759312982,New Zealand,100.0
Nicaragua,NIC,2017,126.86264050962015,87.70075972306064,74.70525557245858,29142.651926988503,0.4353160475149994,0.3009360985499144,0.2563433683373041,Nicaragua,51.60051103943561
Nigeria,NGA,2017,116192.25607405072,72650.04621438924,86843.92094682822,1414162.6207295484,8.216329181017995,5.1373190854747675,6.141013747204445,Nigeria,20.132560483033103
North Korea,PRK,2017,190.86021319025986,185.31397569986663,131.7311574555883,310398.1676834539,0.061488833717891135,0.059702019854979,0.04243941207472868,"Korea, Dem. People’s Rep.",66.62582247414761
North Macedonia,MKD,2017,2.4335581695950133,0.9470362513965712,1.11298820693819,32550.473225809477,0.007476260491553866,0.0029094392724393946,0.003419268897312665,North Macedonia,81.00795468845321
Northern Mariana Islands,MNP,2017,0.26494726105054817,0.044064726165723815,0.1701906084346519,2363.0294650066357,0.011212186093066942,0.0018647556798704612,0.007202221172226219,Northern Mariana Islands,90.24329896907221
Norway,NOR,2017,7.330399072753176,4.876147869836898,18.86903780251032,37829.33518204942,0.019377551938135985,0.012889858746845497,0.0498793798825837,Norway,98.342975347782
Oman,OMN,2017,11.564502191111918,1.0377488241354929,14.259009168008394,16615.447717051626,0.06960090626534145,0.00624568679585144,0.08581778481584379,Oman,90.27503840547692
Pakistan,PAK,2017,49851.42195236807,25963.82908305928,20785.23779539917,1673932.074679758,2.9781030369410426,1.5510682587300595,1.2417013873980294,Pakistan,35.3143465348217
Paraguay,PRY,2017,102.8773213831932,47.01019109527529,101.1224239798595,41253.083857301026,0.24938092322759972,0.11395558028555813,0.2451269445204464,Paraguay,63.894569280344
Peru,PER,2017,723.3918078158498,509.0980270576664,965.3601121615574,113426.6545453993,0.6377617419072432,0.4488345610633333,0.8510875296733447,Peru,50.350651623840506
Philippines,PHL,2017,5507.287300746251,1467.3623292808004,4213.79910798872,877332.9744085091,0.6277305722447307,0.16725261355531343,0.48029644740409183,Philippines,46.65401909712111
Poland,POL,2017,73.94310043636432,12.866885066235318,67.95419710224336,524011.13537124975,0.014110978840931949,0.002455460236950772,0.01296808264467498,Poland,99.1560687269083
Portugal,PRT,2017,15.564799951723867,17.748550622933568,51.162190763492,113078.44888167642,0.013764603340120661,0.015695785358274046,0.04524486431276338,Portugal,95.31190783961891
Puerto Rico,PRI,2017,49.49258413246307,3.2046295981684656,65.98723480941621,35497.01533076141,0.13942745234012174,0.009027884649759161,0.18589516384559868,Puerto Rico,94.08497255503201
Qatar,QAT,2017,1.6169760089012766,0.29002859711118895,2.6160738001376123,6103.250548154543,0.02649368555564553,0.004752034916850755,0.04286361471640127,Qatar,96.1827864704292
Romania,ROU,2017,43.97288278826429,28.23393562397391,65.39495727326369,390373.71320279693,0.011264304255399652,0.007232540170886593,0.01675188545272037,Romania,81.91580949553241
Russia,RUS,2017,155.52673701606673,122.51717261340073,470.6781972374697,2778385.6804751824,0.005597737495878084,0.004409653183659039,0.016940707711859876,Russian Federation,76.02773434751329
Samoa,WSM,2017,3.140222041635734,0.4689783090982305,1.1455257354134647,3623.8949723960254,0.08665322989643656,0.012941277621745042,0.031610345888586085,Samoa,58.8211063788758
Serbia,SRB,2017,21.97991922486675,6.777386898455672,11.40982107892134,201118.17653936718,0.01092885765129457,0.0033698529964192752,0.005673192386312215,Serbia,74.729544804735
Sierra Leone,SLE,2017,4037.0309671218156,3046.355363416153,3107.86266031791,68909.4468792303,5.858457947278343,4.420809484590918,4.510067633781338,Sierra Leone,9.91912664532252
Singapore,SGP,2017,2.0939310074741524,0.44391516845907936,30.248268314557162,20425.934595775758,0.010251335123276042,0.0021732918333679796,0.148087560805236,Singapore,100.0
Slovakia,SVK,2017,4.9120260322950715,0.7876240521955579,9.202578043052613,78174.70135931668,0.006283395966833032,0.0010075178267395972,0.011771810935042185,Slovak Republic,99.7877341102388
Slovenia,SVN,2017,1.1225737884972682,0.29642248736141696,3.3510654524883607,22818.319888171038,0.00491961631705938,0.0012990548331960306,0.014685855351802413,Slovenia,98.05297253896721
South Korea,KOR,2017,129.5113819758087,27.76041469375825,192.6187034866052,258805.5367733897,0.050041967258686954,0.010726360432568832,0.07442603658640512,"Korea, Rep.",98.2138611255522
Spain,ESP,2017,39.93892142674363,10.78669387459183,101.8108176249927,389089.4686434734,0.010264714068460194,0.0027722913992503317,0.026166428502921772,Spain,98.4414891975907
Sweden,SWE,2017,17.311048250274506,13.120707121175,33.73902148241149,92107.60656155445,0.018794374206983367,0.0142449767299149,0.03663000564439169,Sweden,99.9400024619261
Switzerland,CHE,2017,5.266639685576074,3.8980390406915464,15.19192828589242,63295.92081754476,0.008320662086199138,0.00615843642108934,0.024001433409404523,Switzerland,95.45540815487792
Tajikistan,TJK,2017,1138.600488683329,1026.9722330028264,546.2755516916336,73703.04775944949,1.5448485826521994,1.393391812445311,0.7411844805584658,Tajikistan,47.8670483678806
Tunisia,TUN,2017,71.84728566324219,27.810189071953666,76.84671487565349,97224.50649756017,0.07389832898256489,0.02860409383785513,0.07904047821274561,Tunisia,92.6575245357943
Turkmenistan,TKM,2017,44.4998318112823,36.00796333005201,43.546414925968,58108.532026395376,0.07658054722681443,0.06196674063921569,0.0749397952544858,Turkmenistan,93.9039915635385
Uganda,UGA,2017,9653.608337545225,7570.399946238421,7260.477761230776,169452.59163942785,5.696937558846427,4.467562208990705,4.284666106895602,Uganda,7.065800299906559
Ukraine,UKR,2017,54.12760073947953,41.27384002796371,181.31915246155597,1234860.9577772294,0.004383295171701771,0.0033423876403265128,0.014683365873671599,Ukraine,92.0068567305055
United Kingdom,GBR,2017,39.97572258950395,6.198678532348487,252.5759248814967,526380.8283739616,0.007594448816267228,0.0011776034000890135,0.047983496219215806,United Kingdom,99.98877925319259
United States,USA,2017,296.74488196257005,576.8510033907726,795.2871684822705,2902411.1495721447,0.010224081519474397,0.019874889313177022,0.02740091349909219,United States,99.0017779137847
Uzbekistan,UZB,2017,105.05392593122808,120.09609944694269,296.50546393056203,360760.96159785887,0.02912009255822196,0.033289660531732955,0.08218889943559841,Uzbekistan,58.9038053495427
Vanuatu,VUT,2017,28.056882201500216,20.948588816871787,16.391068492884656,5146.170691184504,0.5451992148173832,0.4070713949064525,0.31851000436038573,Vanuatu,44.130325618125106
